destination_country,destination_code,origin_country,origin_code,year,total_migrants,male_migrants,female_migrants,source,dataset,measure_type,period
Greece,300,Cameroon,120,2024,1641.0,832.0,809.0,UN DESA,international_migrant_stock,stock,post_covid
Italy,380,Cameroon,120,2024,16244.0,8781.0,7463.0,UN DESA,international_migrant_stock,stock,post_covid
Portugal,620,Cameroon,120,2024,92.0,62.0,30.0,UN DESA,international_migrant_stock,stock,post_covid
Slovenia,705,Cameroon,120,2024,24.0,21.0,3.0,UN DESA,international_migrant_stock,stock,post_covid
Belgium,56,Cameroon,120,2024,30634.0,14651.0,15983.0,UN DESA,international_migrant_stock,stock,post_covid
France*,250,Cameroon,120,2024,127995.0,53081.0,74914.0,UN DESA,international_migrant_stock,stock,post_covid
Liechtenstein,438,Cameroon,120,2024,3.0,2.0,1.0,UN DESA,international_migrant_stock,stock,post_covid
Luxembourg,442,Cameroon,120,2024,1425.0,691.0,734.0,UN DESA,international_migrant_stock,stock,post_covid
Dominican Republic,214,Cameroon,120,2024,25.0,13.0,12.0,UN DESA,international_migrant_stock,stock,post_covid
Costa Rica,188,Cameroon,120,2024,13.0,7.0,6.0,UN DESA,international_migrant_stock,stock,post_covid
Mexico,484,Cameroon,120,2024,680.0,425.0,255.0,UN DESA,international_migrant_stock,stock,post_covid
Bolivia (Plurinational State of),68,Cameroon,120,2024,15.0,14.0,1.0,UN DESA,international_migrant_stock,stock,post_covid
Brazil,76,Cameroon,120,2024,723.0,532.0,191.0,UN DESA,international_migrant_stock,stock,post_covid
Chile,152,Cameroon,120,2024,281.0,49.0,232.0,UN DESA,international_migrant_stock,stock,post_covid
Canada,124,Cameroon,120,2024,43662.0,20745.0,22917.0,UN DESA,international_migrant_stock,stock,post_covid
Australia*,36,Cameroon,120,2024,695.0,397.0,298.0,UN DESA,international_migrant_stock,stock,post_covid
